submit_id,hold_d
IDX00001,51.09913226246243
IDX00002,128.28080135047395
IDX00003,70.38963751438908
IDX00004,84.15833171546412
IDX00005,10.089758372737066
IDX00006,50.826544729495424
IDX00007,39.789679380232315
IDX00008,264.3719427986057
IDX00009,58.472460907364244
IDX00010,216.3139705343905
IDX00011,12.91655532166302
IDX00012,328.4799098925669
IDX00013,145.74119621827944
IDX00014,5.520007296361339
IDX00015,4.736944581194038
IDX00016,0.4638645131262358
IDX00017,55.565890712463066
IDX00018,42.633375481070615
IDX00019,85.61574348847678
IDX00020,8.520230880348242
IDX00021,1.991102597163712
IDX00022,221.40854114571312
IDX00023,143.72203687101953
IDX00024,12.198869708323668
IDX00025,6.194404873208358
IDX00026,35.24947572231609
IDX00027,41.788390919746874
IDX00028,100.01610275032623
IDX00029,174.59471823383868
IDX00030,92.55865965312415
IDX00031,13.483508572820632
IDX00032,21.20603189743452
IDX00033,394.1233455333078
IDX00034,67.72938414008425
IDX00035,36.037287580116
IDX00036,46.19781606534744
IDX00037,59.2618958815517
IDX00038,425.7426600188193
IDX00039,63.869743306131674
IDX00040,188.78350826014014
IDX00041,309.7584547157803
IDX00042,171.41733042060227
IDX00043,363.20603881097077
IDX00044,260.0036217611863
IDX00045,220.6587847410816
IDX00046,253.3931754092763
IDX00047,216.4616444946421
IDX00048,233.6125520111067
IDX00049,260.41763342556794
IDX00050,276.6357939566763
IDX00051,219.5861977646623
IDX00052,322.34255419869885
IDX00053,60.42313416693124
IDX00054,266.6788976687534
IDX00055,262.862196630648
IDX00056,35.92411333126877
IDX00057,26.914333163811563
IDX00058,207.68179099710744
IDX00059,154.06970024722776
IDX00060,280.5642282868813
IDX00061,38.47022514597026
IDX00062,212.66518548758066
IDX00063,163.40323095235465
IDX00064,219.67677582128445
IDX00065,238.03694846842507
IDX00066,172.834385692234
IDX00067,276.3337832222788
IDX00068,23.591065418972505
IDX00069,49.4010527873171
IDX00070,157.56428721264808
IDX00071,143.9863976598391
IDX00072,175.37821418112108
IDX00073,300.45561079613844
IDX00074,326.0003238160848
IDX00075,6.480653000047742
IDX00076,36.42968652126939
IDX00077,9.557342619930331
IDX00078,12.97300094110591
IDX00079,50.40146508815064
IDX00080,8.759380995865712
IDX00081,2.826715657708288
IDX00082,107.36668598020312
IDX00083,242.5224250790452
IDX00084,172.11728732487506
IDX00085,1.0836269528537983
IDX00086,10.671772979714806
IDX00087,60.15433870455713
IDX00088,17.26081671313706
IDX00089,0.776346566309936
IDX00090,-0.8916841410033438
IDX00091,-1.2982800355051438
IDX00092,31.78617988589225
IDX00093,19.217381206183926
IDX00094,7.4760004515340475
IDX00095,-2.3851479323348457
IDX00096,0.5503596010101042
IDX00097,1.805725774678974
IDX00098,3.6817087900011156
IDX00099,10.111359424549672
IDX00100,17.16249002449548
IDX00101,-1.439709105544793
IDX00102,4.606266102696033
IDX00103,12.059222471381451
IDX00104,20.558197926145365
IDX00105,6.503131292357189
IDX00106,21.527646571332188
IDX00107,3.0391230449686937
IDX00108,5.501126962554007
IDX00109,15.366631039992466
IDX00110,25.97381426528512
IDX00111,82.72044534010449
IDX00112,21.69407987860734
IDX00113,18.624182571619347
IDX00114,2.6487368621439824
IDX00115,54.143958763418865
IDX00116,8.626366191418484
IDX00117,9.76814890539833
IDX00118,-3.1054297621014832
IDX00119,-2.3252347396852464
IDX00120,20.06741383836381
IDX00121,-5.208317788737634
IDX00122,10.60107894885062
IDX00123,28.14581089967352
IDX00124,19.616878125613177
IDX00125,189.83820128499656
IDX00126,106.96417912374491
IDX00127,32.601757122559825
IDX00128,88.88031253417675
IDX00129,84.16131045713553
IDX00130,-2.014182380011217
IDX00131,60.292317135613
IDX00132,8.404362671642215
IDX00133,7.873807019518701
IDX00134,14.91185597100965
IDX00135,3.486698945641143
IDX00136,4.597058787137712
IDX00137,6.331708510042864
IDX00138,18.74057044683311
